Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes
2021-01-06,A06,6726.5,0.0,304.5,6422.0,5073.0,926.25,0.0,0.0,0.0,6726.5,5999.25,676,904,208,0,1112,1788
2021-01-06,A07,1583.0,0.0,72.5,1510.5,627.0,228.0,0.0,0.0,0.0,1583.0,855.0,159,130,49,0,179,338
2021-01-06,A08,15190.5,0.0,693.5,14497.0,6004.0,912.0,0.0,0.0,0.0,15190.5,6916.0,1526,1175,200,0,1375,2901
2021-01-06,A09,2926.5,0.0,133.5,2793.0,1605.5,123.5,0.0,0.0,0.0,2926.5,1729.0,294,269,29,0,298,592
2021-01-06,A13,646.5,0.0,29.0,617.5,190.0,42.75,0.0,0.0,0.0,646.5,232.75,65,44,9,0,53,118
2021-01-06,A14,1397.0,0.0,57.5,1339.5,247.0,104.5,0.0,0.0,0.0,1397.0,351.5,141,26,22,0,48,189
2021-01-06,A15,99.5,0.0,4.5,95.0,28.5,4.75,0.0,0.0,0.0,99.5,33.25,10,3,1,0,4,14
2021-01-06,A16,10000.0,0.0,443.0,9557.0,2764.5,888.25,0.0,0.0,0.0,10000.0,3652.75,1006,405,190,0,595,1601
2021-01-06,A17,1557.0,0.0,84.5,1472.5,788.5,294.5,0.0,0.0,0.0,1557.0,1083.0,155,161,62,0,223,378
2021-01-06,A18,7227.0,0.0,330.0,6897.0,3496.0,655.5,0.0,0.0,0.0,7227.0,4151.5,726,756,143,0,899,1625
2021-01-06,A19,23980.0,0.0,1066.0,22914.0,9443.0,1263.5,0.0,0.0,0.0,23980.0,10706.5,2412,1896,300,0,2196,4608
2021-01-06,A20,12220.0,0.0,601.5,11618.5,6840.0,712.5,0.0,0.0,0.0,12220.0,7552.5,1223,1150,165,0,1315,2538
2021-01-07,A03,840.0,0.0,42.0,798.0,285.0,90.25,0.0,0.0,0.0,840.0,375.25,84,54,19,0,73,157
2021-01-07,A05,923.5,0.0,40.0,883.5,627.0,142.5,0.0,0.0,0.0,923.5,769.5,93,113,38,0,151,244
2021-01-07,A06,6916.5,0.0,314.0,6602.5,4864.0,779.0,0.0,0.0,0.0,6916.5,5643.0,695,1012,177,0,1189,1884
2021-01-07,A07,650.0,0.0,32.5,617.5,342.0,152.0,0.0,0.0,0.0,650.0,494.0,65,89,32,0,121,186
2021-01-07,A08,12751.0,0.0,600.5,12150.5,4940.0,888.25,0.0,0.0,0.0,12751.0,5828.25,1279,1078,205,0,1283,2562
2021-01-07,A09,1910.0,0.0,86.0,1824.0,741.0,80.75,0.0,0.0,0.0,1910.0,821.75,192,144,18,0,162,354
2021-01-07,A13,539.0,0.0,26.0,513.0,218.5,33.25,0.0,0.0,0.0,539.0,251.75,54,40,7,0,47,101
2021-01-07,A14,1260.5,0.0,54.0,1206.5,256.5,90.25,0.0,0.0,0.0,1260.5,346.75,127,27,19,0,46,173
2021-01-07,A15,1698.5,0.0,74.0,1624.5,1159.0,133.0,0.0,0.0,0.0,1698.5,1292.0,171,254,49,0,303,474
2021-01-07,A16,10429.0,0.0,473.0,9956.0,2707.5,769.5,0.0,0.0,0.0,10429.0,3477.0,1048,405,164,0,569,1617
2021-01-07,A17,1074.0,0.0,48.0,1026.0,760.0,185.25,0.0,0.0,0.0,1074.0,945.25,108,155,39,0,194,302
2021-01-07,A18,9546.5,0.0,445.5,9101.0,4902.0,774.25,0.0,0.0,0.0,9546.5,5676.25,958,911,169,0,1080,2038
2021-01-07,A19,21252.0,0.0,969.5,20282.5,9433.5,1334.75,0.0,0.0,0.0,21252.0,10768.25,2135,1588,312,0,1900,4035
2021-01-07,A20,12225.0,0.0,597.0,11628.0,5975.5,641.25,0.0,0.0,0.0,12225.0,6616.75,1224,1143,153,0,1296,2520
2021-01-08,A03,1753.5,0.0,81.5,1672.0,1453.5,323.0,0.0,0.0,0.0,1753.5,1776.5,176,246,68,0,314,490
2021-01-08,A05,944.0,0.0,41.5,902.5,551.0,99.75,0.0,0.0,0.0,944.0,650.75,95,105,30,0,135,230
2021-01-08,A06,8265.5,0.0,399.5,7866.0,5244.0,793.25,0.0,0.0,0.0,8265.5,6037.25,828,843,174,0,1017,1845
2021-01-08,A07,835.0,0.0,37.0,798.0,266.0,171.0,0.0,0.0,0.0,835.0,437.0,84,92,36,0,128,212
2021-01-08,A08,10657.0,0.0,492.0,10165.0,4075.5,627.0,0.0,0.0,0.0,10657.0,4702.5,1070,767,136,0,903,1973
2021-01-08,A09,1783.0,0.0,73.0,1710.0,332.5,57.0,0.0,0.0,0.0,1783.0,389.5,180,99,17,0,116,296
