Fecha,Unidad,Total Viajes,Total Vueltas,Km Programados,Km Vacios,Km Realizados
01/04/2022,AM-44     ,824,412,7993,198,7795
01/04/2022,AM-45     ,569,284.5,6843,682,6161
01/04/2022,AM-46     ,2238,1119,9157,247,8910
01/04/2022,AM-47     ,1888,944,7838,467,7371
01/04/2022,AM-48     ,1826,913,7400,328,7072
01/04/2022,AM-49     ,1859,929.5,6319,84,6235
01/04/2022,AM-50     ,1619,809.5,5883,84,5799
01/04/2022,AM-51     ,1660,830,6214,36,6178
01/04/2022,AM-52     ,1564,782,5956,72,5884
01/04/2022,AM-53     ,1667,833.5,6119,84,6035
01/04/2022,AM-54     ,892,446,4460,0,4460
01/04/2022,AM-55     ,815,407.5,2953,0,2953
01/04/2022,AM-56     ,8,4,185,90,95
01/04/2022,AM-57     ,21,10.5,324,14,310
01/04/2022,AM-59     ,86,43,491,11,480
01/04/2022,AM-60     ,28,14,210,16,194
01/04/2022,AM-61     ,23,11.5,155,11,144
01/04/2022,AM-62     ,49,24.5,598,47,551
01/04/2022,AM-64     ,696,348,7037,768,6269
01/04/2022,AM-65     ,667,333.5,6541,778,5763
01/04/2022,AM-66     ,685,342.5,6986,852,6134
01/04/2022,AM-67     ,606,303,6309,813,5496
01/04/2022,TM-001    ,482,241,7658,90,7568
01/04/2022,TM-002    ,374,187,5936,80,5856
01/04/2022,TM-003    ,503,251.5,8042,10,8032
01/04/2022,TM-004    ,520,260,8266,106,8160
01/04/2022,TM-005    ,549,274.5,8772,36,8736
01/04/2022,TM-006    ,227,113.5,3632,0,3632
01/04/2022,TM-007    ,530,265,8480,0,8480
01/04/2022,TM-008    ,513,256.5,8196,36,8160
01/04/2022,TM-009    ,149,74.5,2366,30,2336
01/04/2022,TM-010    ,539,269.5,8624,0,8624
01/04/2022,TM-011    ,164,82,2612,20,2592
01/04/2022,TM-012    ,500,250,7982,78,7904
01/04/2022,TM-013    ,545,272.5,8714,26,8688
01/04/2022,TM-014    ,538,269,8608,0,8608
01/04/2022,TM-015    ,75,37.5,1200,16,1184
01/04/2022,TM-016    ,573,286.5,9138,82,9056
01/04/2022,TM-018    ,474,237,7584,0,7584
01/04/2022,TM-019    ,497,248.5,7940,36,7904
01/04/2022,TM-020    ,205,102.5,3280,0,3280
01/04/2022,TM-021    ,11,5.5,176,0,176
01/04/2022,TM-022    ,450,225,7194,10,7184
