Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes,Ingreso Total
07/01/2021,A06,6916.5,0,314,6602.5,4864,779,0,0,0,6916.5,5643,695,1012,177,0,1189,1884,12559.5
07/01/2021,A07,650,0,32.5,617.5,342,152,0,0,0,650,494,65,89,32,0,121,186,1144
07/01/2021,A08,12751,0,600.5,12150.5,4940,888.25,0,0,0,12751,5828.25,1279,1078,205,0,1283,2562,18579.25
07/01/2021,A09,1910,0,86,1824,741,80.75,0,0,0,1910,821.75,192,144,18,0,162,354,2731.75
07/01/2021,A13,539,0,26,513,218.5,33.25,0,0,0,539,251.75,54,40,7,0,47,101,790.75
07/01/2021,A14,1260.5,0,54,1206.5,256.5,90.25,0,0,0,1260.5,346.75,127,27,19,0,46,173,1607.25
07/01/2021,A15,1698.5,0,74,1624.5,1159,133,0,0,0,1698.5,1292,171,254,49,0,303,474,2990.5
07/01/2021,A16,10429,0,473,9956,2707.5,769.5,0,0,0,10429,3477,1048,405,164,0,569,1617,13906
07/01/2021,A17,1074,0,48,1026,760,185.25,0,0,0,1074,945.25,108,155,39,0,194,302,2019.25
07/01/2021,A18,9546.5,0,445.5,9101,4902,774.25,0,0,0,9546.5,5676.25,958,911,169,0,1080,2038,15222.75
07/01/2021,A19,21252,0,969.5,20282.5,9433.5,1334.75,0,0,0,21252,10768.25,2135,1588,312,0,1900,4035,32020.25
07/01/2021,A20,12225,0,597,11628,5975.5,641.25,0,0,0,12225,6616.75,1224,1143,153,0,1296,2520,18841.75
08/01/2021,A03,1753.5,0,81.5,1672,1453.5,323,0,0,0,1753.5,1776.5,176,246,68,0,314,490,3530
08/01/2021,A05,944,0,41.5,902.5,551,99.75,0,0,0,944,650.75,95,105,30,0,135,230,1594.75
08/01/2021,A06,8265.5,0,399.5,7866,5244,793.25,0,0,0,8265.5,6037.25,828,843,174,0,1017,1845,14302.75
08/01/2021,A07,835,0,37,798,266,171,0,0,0,835,437,84,92,36,0,128,212,1272
08/01/2021,A08,10657,0,492,10165,4075.5,627,0,0,0,10657,4702.5,1070,767,136,0,903,1973,15359.5
08/01/2021,A09,1783,0,73,1710,332.5,57,0,0,0,1783,389.5,180,99,17,0,116,296,2172.5
08/01/2021,A13,616,0,27,589,218.5,57,0,0,0,616,275.5,62,42,12,0,54,116,891.5
08/01/2021,A14,791,0,31,760,142.5,57,0,0,0,791,199.5,80,15,12,0,27,107,990.5
08/01/2021,A15,2517,0,113.5,2403.5,1444,280.25,0,0,0,2517,1724.25,253,333,63,0,396,649,4241.25
08/01/2021,A16,7730.5,0,368,7362.5,1957,660.25,0,0,0,7730.5,2617.25,775,244,139,0,383,1158,10347.75
08/01/2021,A17,951.5,0,39.5,912,722,166.25,0,0,0,951.5,888.25,96,124,35,0,159,255,1839.75
08/01/2021,A18,12719.5,0,607,12112.5,6479,1125.75,0,0,0,12719.5,7604.75,1275,1176,246,0,1422,2697,20324.25
08/01/2021,A19,24469,0,1108.5,23360.5,10041.5,1239.75,0,0,0,24469,11281.25,2459,1866,300,0,2166,4625,35750.25
08/01/2021,A20,11517.5,0,554.5,10963,5405.5,437,0,0,0,11517.5,5842.5,1154,959,109,0,1068,2222,17360
09/01/2021,A03,2113,0,99,2014,693.5,175.75,0,0,0,2113,869.25,212,158,37,0,195,407,2982.25
09/01/2021,A05,238.5,0,10.5,228,76,23.75,0,0,0,238.5,99.75,24,11,5,0,16,40,338.25
09/01/2021,A06,3555.5,0,145,3410.5,2033,275.5,0,0,0,3555.5,2308.5,359,337,59,0,396,755,5864
09/01/2021,A07,860,0,33.5,826.5,237.5,133,0,0,0,860,370.5,87,57,28,0,85,172,1230.5
09/01/2021,A08,10738.5,0,507,10231.5,2850,470.25,0,0,0,10738.5,3320.25,1077,535,115,0,650,1727,14058.75
09/01/2021,A09,1854.5,0,87.5,1767,513,118.75,0,0,0,1854.5,631.75,186,117,25,0,142,328,2486.25
09/01/2021,A13,1054,0,56.5,997.5,380,99.75,0,0,0,1054,479.75,105,99,21,0,120,225,1533.75
09/01/2021,A14,426.5,0,18,408.5,66.5,33.25,0,0,0,426.5,99.75,43,7,7,0,14,57,526.25
09/01/2021,A15,1207.5,0,58,1149.5,750.5,152,0,0,0,1207.5,902.5,121,162,32,0,194,315,2110
09/01/2021,A16,7683,0,387,7296,2147,546.25,0,0,0,7683,2693.25,768,300,137,0,437,1205,10376.25
09/01/2021,A17,1130,0,47,1083,579.5,180.5,0,0,0,1130,760,114,111,38,0,149,263,1890
09/01/2021,A18,11801,0,553,11248,5225,769.5,0,0,0,11801,5994.5,1184,844,164,0,1008,2192,17795.5
09/01/2021,A19,22677.5,0,1084,21593.5,8312.5,1125.75,0,0,0,22677.5,9438.25,2273,1457,251,0,1708,3981,32115.75
09/01/2021,A20,11625.5,0,615,11010.5,4493.5,541.5,0,0,0,11625.5,5035,1159,834,122,0,956,2115,16660.5
10/01/2021,A03,2063,0,96.5,1966.5,703,251.75,0,0,0,2063,954.75,207,116,55,0,171,378,3017.75
10/01/2021,A05,1913,0,89,1824,541.5,166.25,0,0,0,1913,707.75,192,87,35,0,122,314,2620.75
10/01/2021,A06,2874.5,0,119.5,2755,1016.5,280.25,0,0,0,2874.5,1296.75,290,200,59,0,259,549,4171.25
10/01/2021,A07,1193,0,53,1140,418,147.25,0,0,0,1193,565.25,120,82,31,0,113,233,1758.25
10/01/2021,A08,9256.5,0,450,8806.5,1871.5,356.25,0,0,0,9256.5,2227.75,927,320,79,0,399,1326,11484.25
10/01/2021,A09,850.5,0,33.5,817,114,23.75,0,0,0,850.5,137.75,86,18,5,0,23,109,988.25
10/01/2021,A13,1140,0,57,1083,351.5,123.5,0,0,0,1140,475,114,50,26,0,76,190,1615
10/01/2021,A14,1507.5,0,63.5,1444,142.5,114,0,0,0,1507.5,256.5,152,15,24,0,39,191,1764
10/01/2021,A15,1585.5,0,65.5,1520,598.5,161.5,0,0,0,1585.5,760,160,126,34,0,160,320,2345.5
10/01/2021,A16,4659,0,232,4427,1140,413.25,0,0,0,4659,1553.25,466,169,98,0,267,733,6212.25
10/01/2021,A17,898.5,0,43.5,855,266,52.25,0,0,0,898.5,318.25,90,37,11,0,48,138,1216.75
10/01/2021,A18,6406,0,316.5,6089.5,1995,332.5,0,0,0,6406,2327.5,641,325,74,0,399,1040,8733.5
10/01/2021,A19,24624,0,1130.5,23493.5,6412.5,726.75,0,0,0,24624,7139.25,2473,1055,174,0,1229,3702,31763.25
10/01/2021,A20,6686.5,0,369,6317.5,1957,308.75,0,0,0,6686.5,2265.75,665,358,68,0,426,1091,8952.25
11/01/2021,A03,4579.5,1,209.5,4370,1881,384.75,0,0,0,4580.5,2265.75,460,363,87,0,450,910,6846.25
11/01/2021,A06,4194.5,0,195,3999.5,2004.5,513,0,0,0,4194.5,2517.5,421,419,108,0,527,948,6712
11/01/2021,A07,1069,0,43,1026,351.5,152,0,0,0,1069,503.5,108,80,33,0,113,221,1572.5
11/01/2021,A08,15817.5,2,712.5,15105,5396,1021.25,0,0,0,15819.5,6417.25,1590,1112,245,0,1357,2947,22236.75
11/01/2021,A09,512.5,0,28,484.5,104.5,14.25,0,0,0,512.5,118.75,51,18,3,0,21,72,631.25
11/01/2021,A13,1100.5,0,65,1035.5,351.5,109.25,0,0,0,1100.5,460.75,109,128,23,0,151,260,1561.25
11/01/2021,A14,2109,0,95,2014,294.5,123.5,0,0,0,2109,418,212,33,26,0,59,271,2527
11/01/2021,A15,1806.5,0,87,1719.5,1282.5,266,0,0,0,1806.5,1548.5,181,297,56,0,353,534,3355
11/01/2021,A16,9705,1.5,442.5,9262.5,3315.5,1092.5,0,0,0,9706.5,4408,975,600,249,0,849,1824,14114.5
11/01/2021,A17,645,0,27.5,617.5,418,175.75,0,0,0,645,593.75,65,105,37,0,142,207,1238.75
11/01/2021,A18,11075.5,0,540,10535.5,5690.5,802.75,0,0,0,11075.5,6493.25,1109,927,180,0,1107,2216,17568.75
11/01/2021,A19,32427.5,0,1476.5,30951,10773,1410.75,0,0,0,32427.5,12183.75,3258,2040,367,0,2407,5665,44611.25
11/01/2021,A20,10799.5,0,520.5,10279,5690.5,707.75,0,0,0,10799.5,6398.25,1082,986,165,0,1151,2233,17197.75
12/01/2021,A03,4165,200.5,184.5,3980.5,1805,280.25,0,0,0,4365.5,2085.25,419,343,68,0,411,830,6450.75
12/01/2021,A06,5240.5,318,224.5,5016,2356,513,0,0,0,5558.5,2869,528,557,122,0,679,1207,8427.5
12/01/2021,A08,15436.5,845.5,730.5,14706,6982.5,1154.25,0,0,0,16282,8136.75,1548,1268,258,0,1526,3074,24418.75
12/01/2021,A09,595.5,38,25.5,570,123.5,14.25,0,0,0,633.5,137.75,60,26,3,0,29,89,771.25
12/01/2021,A13,566.5,47.5,25,541.5,342,76,0,0,0,614,418,57,53,17,0,70,127,1032
12/01/2021,A14,1585,55.5,65,1520,275.5,114,0,0,0,1640.5,389.5,160,29,24,0,53,213,2030
12/01/2021,A15,3282,85,147,3135,1928.5,508.25,0,0,0,3367,2436.75,330,521,107,0,628,958,5803.75
12/01/2021,A16,8239.5,472,373.5,7866,2878.5,988,0,0,0,8711.5,3866.5,828,410,216,0,626,1454,12578
12/01/2021,A17,487,23.5,21.5,465.5,266,156.75,0,0,0,510.5,422.75,49,40,33,0,73,122,933.25
12/01/2021,A18,7601,561.5,343,7258,4009,603.25,0,0,0,8162.5,4612.25,764,691,133,0,824,1588,12774.75
12/01/2021,A19,32070.5,1430.5,1499.5,30571,12711,1520,0,0,0,33501,14231,3218,2443,373,0,2816,6034,47732
12/01/2021,A20,7928,671.5,404,7524,4940,384.75,0,0,0,8599.5,5324.75,792,902,96,0,998,1790,13924.25
13/01/2021,A03,5395,338.5,265,5130,1577,323,0,0,0,5733.5,1900,540,353,77,0,430,970,7633.5
13/01/2021,A06,3693.5,139.5,169,3524.5,2869,536.75,0,0,0,3833,3405.75,371,605,126,0,731,1102,7238.75
13/01/2021,A08,10205,704,496,9709,4313,679.25,0,0,0,10909,4992.25,1022,771,157,0,928,1950,15901.25
13/01/2021,A09,784,39,33.5,750.5,85.5,19,0,0,0,823,104.5,79,18,7,0,25,104,927.5
13/01/2021,A13,348.5,37.5,16,332.5,199.5,57,0,0,0,386,256.5,35,39,12,0,51,86,642.5
13/01/2021,A15,1923,78.5,89.5,1833.5,1482,285,0,0,0,2001.5,1767,193,311,60,0,371,564,3768.5
13/01/2021,A16,8279,689,375,7904,3543.5,736.25,0,0,0,8968,4279.75,832,511,171,0,682,1514,13247.75
13/01/2021,A17,686,70.5,30.5,655.5,294.5,128.25,0,0,0,756.5,422.75,69,117,27,0,144,213,1179.25
13/01/2021,A18,6091,301,286.5,5804.5,3068.5,503.5,0,0,0,6392,3572,611,626,106,0,732,1343,9964
13/01/2021,A19,32204.5,1828.5,1481.5,30723,13670.5,1852.5,0,0,0,34033,15523,3234,2698,445,0,3143,6377,49556
13/01/2021,A20,9776.5,964,476,9300.5,5804.5,608,0,0,0,10740.5,6412.5,979,1048,136,0,1184,2163,17153
14/01/2021,A03,4272,287.5,196.5,4075.5,1805,418,0,0,0,4559.5,2223,429,301,91,0,392,821,6782.5
14/01/2021,A06,2640,121,113,2527,2812,441.75,0,0,0,2761,3253.75,266,528,105,0,633,899,6014.75
14/01/2021,A07,10,0,0.5,9.5,0,0,0,0,0,10,0,1,2,0,0,2,3,10
14/01/2021,A08,11178.5,499.5,510,10668.5,4351,736.25,0,0,0,11678,5087.25,1123,969,163,0,1132,2255,16765.25
14/01/2021,A09,694.5,22.5,29.5,665,171,9.5,0,0,0,717,180.5,70,28,3,0,31,101,897.5
14/01/2021,A13,486.5,71,21,465.5,209,57,0,0,0,557.5,266,49,46,12,0,58,107,823.5
14/01/2021,A14,735,20,32,703,95,23.75,0,0,0,755,118.75,74,36,5,0,41,115,873.75
14/01/2021,A15,538,19,25,513,598.5,90.25,0,0,0,557,688.75,54,75,19,0,94,148,1245.75
