Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes
27/04/2022,A06,"$7,619.50",$640.00,$371.00,"$7,248.50","$7,410.00","$1,201.75",$584.25,$0.00,$0.00,"$8,259.50","$9,196.00",763,976,253,123,"1,352","2,115"
27/04/2022,A07,"$2,172.50",$133.50,$111.00,"$2,061.50","$1,453.50",$365.75,$213.75,$0.00,$0.00,"$2,306.00","$2,033.00",217,202,79,45,326,543
27/04/2022,A08,"$9,654.50",$883.00,$525.00,"$9,129.50","$6,065.75","$1,116.25",$375.25,$0.00,$0.00,"$10,537.50","$7,557.25",961,800,235,79,"1,114","2,075"
27/04/2022,A09,"$1,241.50",$174.50,$73.00,"$1,168.50",$926.25,$128.25,$76.00,$0.00,$0.00,"$1,416.00","$1,130.50",123,114,27,16,157,280
27/04/2022,A10,$498.00,$63.00,$23.00,$475.00,$232.75,$38.00,$66.50,$0.00,$0.00,$561.00,$337.25,50,31,8,14,53,103
27/04/2022,A13,$418.50,$20.00,$19.50,$399.00,$199.50,$42.75,$28.50,$0.00,$0.00,$438.50,$270.75,42,25,9,6,40,82
27/04/2022,A15,"$3,268.00",$151.50,$171.00,"$3,097.00","$3,477.00",$774.25,$180.50,$0.00,$0.00,"$3,419.50","$4,431.75",326,475,165,38,678,"1,004"
27/04/2022,A16,"$7,953.50",$695.50,$391.50,"$7,562.00","$7,020.50","$1,695.75",$783.75,$0.00,$0.00,"$8,649.00","$9,500.00",796,888,358,165,"1,411","2,207"
27/04/2022,A17,"$3,171.50",$396.50,$179.00,"$2,992.50","$2,503.25",$703.00,$185.25,$0.00,$0.00,"$3,568.00","$3,391.50",315,346,149,39,534,849
27/04/2022,A18,"$11,831.50",$718.00,$612.00,"$11,219.50","$10,488.00","$2,161.25",$660.25,$0.00,$0.00,"$12,549.50","$13,309.50","1,181","1,288",455,139,"1,882","3,063"
27/04/2022,A19,"$30,911.00","$1,783.50","$1,575.00","$29,336.00","$26,372.00","$3,472.25","$1,030.75",$0.00,$0.00,"$32,694.50","$30,875.00","3,088","3,279",732,217,"4,228","7,316"
27/04/2022,A20,"$20,605.00","$1,427.00","$1,054.00","$19,551.00","$15,746.25","$2,793.00",$788.50,$0.00,$0.00,"$22,032.00","$19,327.75","2,058","2,020",589,166,"2,775","4,833"
27/04/2022,A21,"$26,422.50","$1,773.50","$1,380.50","$25,042.00","$24,529.00","$2,080.50",$703.00,$0.00,$0.00,"$28,196.00","$27,312.50","2,636","3,137",438,148,"3,723","6,359"
28/04/2022,A03,"$1,545.00",$98.50,$72.50,"$1,472.50",$437.00,$204.25,$185.25,$0.00,$0.00,"$1,643.50",$826.50,155,57,43,39,139,294
28/04/2022,A05,"$3,197.00",$265.00,$176.00,"$3,021.00","$3,614.75",$883.50,$332.50,$0.00,$0.00,"$3,462.00","$4,830.75",318,489,187,70,746,"1,064"
28/04/2022,A06,"$5,927.00",$453.50,$293.50,"$5,633.50","$5,681.00",$893.00,$418.00,$0.00,$0.00,"$6,380.50","$6,992.00",593,778,188,88,"1,054","1,647"
28/04/2022,A07,"$2,144.00",$103.50,$111.00,"$2,033.00","$1,187.50",$313.50,$161.50,$0.00,$0.00,"$2,247.50","$1,662.50",214,168,66,34,268,482
28/04/2022,A08,"$8,968.50",$692.50,$475.50,"$8,493.00","$6,094.25","$1,296.75",$389.50,$0.00,$0.00,"$9,661.00","$7,780.50",894,802,273,82,"1,157","2,051"
28/04/2022,A09,"$2,174.50",$232.00,$132.00,"$2,042.50","$1,643.50",$218.50,$42.75,$0.00,$0.00,"$2,406.50","$1,904.75",215,192,46,9,247,462
28/04/2022,A10,$490.00,$37.50,$34.00,$456.00,$223.25,$61.75,$52.25,$0.00,$0.00,$527.50,$337.25,48,29,13,11,53,101
28/04/2022,A13,$298.00,$0.00,$13.00,$285.00,$99.75,$4.75,$14.25,$0.00,$0.00,$298.00,$118.75,30,14,1,3,18,48
28/04/2022,A15,"$3,631.00",$163.50,$163.50,"$3,467.50","$3,776.25",$736.25,$213.75,$0.00,$0.00,"$3,794.50","$4,726.25",365,521,155,45,721,"1,086"
28/04/2022,A16,"$6,851.50",$528.00,$363.00,"$6,488.50","$4,887.75","$1,363.25",$574.75,$0.00,$0.00,"$7,379.50","$6,825.75",683,625,287,121,"1,033","1,716"
